title,link,content_preview,summary,content_length,scraped_at
'Làm sao mỗi người đi làm có thể nuôi được một người',https://vnexpress.net/lam-sao-moi-nguoi-di-lam-co-the-nuoi-duoc-mot-nguoi-4942762.html,"Chiều 23/9, Tổng Bí thư Tô Lâm cùng đại biểu Quốc hội tổ số 1 tiếp xúc cử tri 11 phường (Ba Đình, Ngọc Hà, Giảng Võ, Đống Đa, Kim Liên, Văn Miếu - Quốc Tử Giám, Láng, Ô Chợ Dừa, Hai Bà Trưng, Vĩnh Tuy...","Chiều 23/9, Tổng Bí thư Tô Lâm cùng đại biểu Quốc hội tổ số 1 tiếp xúc cử tri 11 phường (Ba Đình, Ngọc Hà, Giảng Võ, Đống Đa, Kim Liên, Văn Miếu - Quốc Tử Giám, Láng, Ô Chợ Dừa, Hai Bà Trưng, Vĩnh Tuy và Bạch Mai) trước kỳ họp Quốc hội thứ 10. Tổng Bí thư Tô Lâm phát biểu tại buổi tiếp xúc cử tri...",4912,2025-09-23 22:15:23
Lệ phí và 'tệ' phí,https://vnexpress.net/le-phi-va-te-phi-4942356.html,"Người mẹ phân trần: ngay khi biết tin con đỗ đạt, hai vợ chồng đã tham khảo mức học phí các năm trước, bán chỗ nọ, vay chỗ kia, chuẩn bị tươm tươm một khoản, sẵn sàng nhập học cho con. Nay nhận được t...","Người mẹ phân trần: ngay khi biết tin con đỗ đạt, hai vợ chồng đã tham khảo mức học phí các năm trước, bán chỗ nọ, vay chỗ kia, chuẩn bị tươm tươm một khoản, sẵn sàng nhập học cho con. Nay nhận được tờ thông báo, khoản đã tươm tươm bỗng trở nên teo tóp, bởi một loạt lệ phí bỗng đâu mọc ra. Tôi nh...",3442,2025-09-23 22:15:24
Lý do bão Ragasa tăng - giảm cấp nhanh,https://vnexpress.net/ly-do-bao-ragasa-tang-giam-cap-nhanh-4942542.html,"Bão Ragasa hình thành ngày 18/9 từ áp thấp nhiệt đới ở ngoài khơi Philippines, ba ngày sau tăng 8 cấp lên thành siêu bão và đến tối 22/9 vào Biển Đông đạt cực đại cấp 17 với sức gió 221 km/h. Ragasa v...","Bão Ragasa hình thành ngày 18/9 từ áp thấp nhiệt đới ở ngoài khơi Philippines, ba ngày sau tăng 8 cấp lên thành siêu bão và đến tối 22/9 vào Biển Đông đạt cực đại cấp 17 với sức gió 221 km/h. Ragasa vượt Yagi năm 2024 trở thành cơn bão mạnh nhất trên Biển Đông trong 70 năm qua. Lý giải việc bão t...",4186,2025-09-23 22:15:25
'Việt Nam đến giai đoạn phải ưu tiên phát triển tài sản trí tuệ',https://vnexpress.net/viet-nam-den-giai-doan-phai-uu-tien-phat-trien-tai-san-tri-tue-4942775.html,"Chiều 23/6, Ủy ban Thường vụ Quốc hội thảo luận dự án Luật sửa đổi, bổ sung Luật Sở hữu trí tuệ. Nội dung nổi bật của dự luật là bổ sung chính sách hỗ trợ tạo ra và khai thác thương mại các đối tượng ...","Chiều 23/6, Ủy ban Thường vụ Quốc hội thảo luận dự án Luật sửa đổi, bổ sung Luật Sở hữu trí tuệ. Nội dung nổi bật của dự luật là bổ sung chính sách hỗ trợ tạo ra và khai thác thương mại các đối tượng quyền sở hữu trí tuệ nhằm thúc đẩy đổi mới sáng tạo. Trong đó, Nhà nước hỗ trợ tạo ra, xác lập, k...",4641,2025-09-23 22:15:26
"'Giá nhà tăng cao khiến người trẻ không dám kết hôn, sinh con'",https://vnexpress.net/gia-nha-tang-cao-khien-nguoi-tre-khong-dam-ket-hon-sinh-con-4942779.html,"Chiều 23/9, Viện Xã hội học và Tâm lý học (Viện Hàn lâm Khoa học Xã hội Việt Nam) tổ chức hội thảoMức sinh ở Việt Nam: Thực trạng và giải pháp chính sách. Tại đây, TS Nguyễn Thị Thanh Thủy, giảng viên...","Chiều 23/9, Viện Xã hội học và Tâm lý học (Viện Hàn lâm Khoa học Xã hội Việt Nam) tổ chức hội thảoMức sinh ở Việt Nam: Thực trạng và giải pháp chính sách. Tại đây, TS Nguyễn Thị Thanh Thủy, giảng viên Đại học Văn hóa Hà Nội, cho biết tổng tỷ suất sinh của Việt Nam hiện vẫn ở mức thay thế, song có...",6665,2025-09-23 22:15:27
Thủ tướng yêu cầu gỡ thẻ vàng thủy sản trong năm nay,https://vnexpress.net/thu-tuong-yeu-cau-go-the-vang-thuy-san-trong-nam-nay-4942785.html,"Chiều 23/9, tại phiên họp lần thứ 14 của Ban chỉ đạo quốc gia về chống khai thác hải sản bất hợp pháp (IUU),Thủ tướng Phạm Minh Chínhnhấn mạnh cả hệ thống chính trị phải vào cuộc, người đứng đầu các c...","Chiều 23/9, tại phiên họp lần thứ 14 của Ban chỉ đạo quốc gia về chống khai thác hải sản bất hợp pháp (IUU),Thủ tướng Phạm Minh Chínhnhấn mạnh cả hệ thống chính trị phải vào cuộc, người đứng đầu các cấp chịu trách nhiệm trong xử lý, gỡ thẻ vàng thủy sản. ""Phải thiết lập lại trật tự quản lý đội tà...",3015,2025-09-23 22:15:28
Nga tập kích Ukraine trả đũa vụ tấn công bán đảo Crimea,https://vnexpress.net/nga-tap-kich-ukraine-tra-dua-vu-tan-cong-ban-dao-crimea-4942754.html,"Lực lượng vũ trang Nga đêm qua mở đợt tập kích hiệp đồng nhằm vào điểm triển khai của đặc nhiệm Ukraine và ""lính đánh thuê nước ngoài thuộc đơn vị Ghost"" của Tổng cục Tình báo Quân đội Ukraine (GUR) t...","Lực lượng vũ trang Nga đêm qua mở đợt tập kích hiệp đồng nhằm vào điểm triển khai của đặc nhiệm Ukraine và ""lính đánh thuê nước ngoài thuộc đơn vị Ghost"" của Tổng cục Tình báo Quân đội Ukraine (GUR) tại tỉnh Odessa, Bộ Quốc phòng Nga ngày 23/9 thông báo. Cơ quan này cho biết chiến dịch tập kích n...",1788,2025-09-23 22:15:29
Đề xuất Trung tâm hành chính Bà Rịa - Vũng Tàu 1.000 tỷ đồng thành trường học,https://vnexpress.net/de-xuat-trung-tam-hanh-chinh-ba-ria-vung-tau-1-000-ty-dong-thanh-truong-hoc-4942708.html,"Nội dung được Sở Tài chính nêu trong báo cáo gửi UBND TP HCM về sắp xếp, bố trí trụ sở làm việc trên địa bàn. TP HCM sau sáp nhập với Bình Dương và Bà Rịa - Vũng Tàu rộng 6.777 km2, dân số 14 triệu. T...","Nội dung được Sở Tài chính nêu trong báo cáo gửi UBND TP HCM về sắp xếp, bố trí trụ sở làm việc trên địa bàn. TP HCM sau sáp nhập với Bình Dương và Bà Rịa - Vũng Tàu rộng 6. 777 km2, dân số 14 triệu",1889,2025-09-23 22:15:30
Ca sĩ nhóm Ngũ Hổ Tướng thừa nhận sai lầm,https://vnexpress.net/ca-si-nhom-ngu-ho-tuong-thua-nhan-sai-lam-4942597.html,"Sáng 23/9, Phòng An ninh mạng và phòng chống tội phạm sử dụng công nghệ cao (PA05) Công an TP HCM mời những người tham gia MV của ban nhạc lên làm việc. Chiều cùng ngày, ca sĩ Khánh Phương thừa nhận s...","Sáng 23/9, Phòng An ninh mạng và phòng chống tội phạm sử dụng công nghệ cao (PA05) Công an TP HCM mời những người tham gia MV của ban nhạc lên làm việc. Chiều cùng ngày, ca sĩ Khánh Phương thừa nhận sơ suất, chủ quan, không kiểm tra, rà soát thông tin rõ ràng khiến sự việc gây bức xúc cho khán gi...",2577,2025-09-23 22:15:31
Đề xuất nhà mạng cung cấp IP người dùng cho cơ quan an ninh,https://vnexpress.net/de-xuat-nha-mang-cung-cap-ip-nguoi-dung-cho-co-quan-an-ninh-4942633.html,Nội dung này nằm trong dự thảo Luật An ninh mạng được Chính phủ trình Ủy ban Thường vụ Quốc hội chiều 23/9. Thứ trưởng Công an Nguyễn Văn Long cho biết quy định nhằm đảm bảo an ninh mạng và hiệu quả q...,"Nội dung này nằm trong dự thảo Luật An ninh mạng được Chính phủ trình Ủy ban Thường vụ Quốc hội chiều 23/9. Thứ trưởng Công an Nguyễn Văn Long cho biết quy định nhằm đảm bảo an ninh mạng và hiệu quả quản lý nhà nước. Địa chỉ IP là dãy số đơn nhất trên không gian mạng, tương tự ""địa chỉ địa lý"", c...",2656,2025-09-23 22:15:33
